"PUZZLE","CATEGORY","DATE USED"
"BACKYARD BARBEQUE","Event","9/8/08 (#4876)"
"DECORATIVE PILLOWS","Around the House","9/8/08 (#4876)"
"THE GREATEST COUNTRY IN THE WORLD","Place","9/8/08 (#4876)"
"A NEW PASSPORT PHOTO","Thing","9/8/08 (#4876)"
"CURLING IRON MAN","Before & After","9/8/08 (#4876)"
"WESTERN EUROPE","On the Map","9/8/08 (#4876)"
"BEER-BATTERED FISH & CHIPS","Food & Drink","9/8/08 (#4876)"
"TENNIS PARTNERS","People","9/8/08 (#4876)"
"HOT COCOA MIX","Food & Drink","9/8/08 (#4876)"
"ICE CREAM TRUCK","Thing","9/9/08 (#4877)"
"GAINESVILLE FLORIDA","On the Map","9/9/08 (#4877)"
"A TRIP ACROSS THE POND","Phrase","9/9/08 (#4877)"
"FILLING OUT A QUESTIONNAIRE","What Are You Doing?","9/9/08 (#4877)"
"SARAH JESSICA PARKER AS CARRIE BRADSHAW","Star & Role","9/9/08 (#4877)"
"DOMED STADIUM","Place","9/9/08 (#4877)"
"INSURANCE INVESTIGATOR","Occupation","9/9/08 (#4877)"
"STOPWATCH","Thing","9/9/08 (#4877)"
"BUTTERFLY GARDEN","Place","9/10/08 (#4878)"
"LEAN AND MEAN","Rhyme Time","9/10/08 (#4878)"
"BOX OFFICE BLOCKBUSTER","Show Biz","9/10/08 (#4878)"
"LOUNGING POOLSIDE","What Are You Doing?","9/10/08 (#4878)"
"AMERICAN & RHUBARB PIE","Same Name","9/10/08 (#4878)"
"PALM READING","Event","9/10/08 (#4878)"
"VERY ACTIVE IMAGINATION","Thing","9/10/08 (#4878)"
"BIG DREAMS","Things","9/10/08 (#4878)"
"FRESH FRUIT SALAD","Food & Drink","9/11/08 (#4879)"
"THE PANAMA CANAL","Landmark","9/11/08 (#4879)"
"SCIENCE FICTION TELEVISION SERIES","Show Biz","9/11/08 (#4879)"
"BLUE JAY LENO","Before & After","9/11/08 (#4879)"
"FIELDS OF CLOVER","Places","9/11/08 (#4879)"
"ANTIQUE DEALER","Occupation","9/11/08 (#4879)"
"BOTTLE-NOSED DOLPHINS","Living Things","9/11/08 (#4879)"
"LETTER TO THE EDITOR","Thing","9/11/08 (#4879)"
"HISTORY BUFF","Person","9/11/08 (#4879)"
"OUTDOOR CONCERT","Show Biz","9/12/08 (#4880)"
"POTTERY STUDIO","Place","9/12/08 (#4880)"
"CALIFORNIA-NEVADA BORDER","On the Map","9/12/08 (#4880)"
"ANNUAL LIVESTOCK SHOW AND RODEO","Event","9/12/08 (#4880)"
"WONDERS OF NATURE","Things","9/12/08 (#4880)"
"STEP STOOL","Around the House","9/12/08 (#4880)"
"TAKING A TURN FOR THE BETTER","Phrase","9/12/08 (#4880)"
"SECOND COUSINS","People","9/12/08 (#4880)"
"YOU MADE ME BLUSH","Phrase","9/12/08 (#4880)"
"FRONT-ROW SEATS","Things","9/15/08 (#4881)"
"ICE CREAM PARLOR","Place","9/15/08 (#4881)"
"SOAKING IN THE AWESOME SCENERY","What Are You Doing?","9/15/08 (#4881)"
"FINE-CUT CRYSTAL GLASSWARE","Around the House","9/15/08 (#4881)"
"PHOTO FINISH YOUR VEGETABLES","Before & After","9/15/08 (#4881)"
"THE PACIFIC OCEAN","On the Map","9/15/08 (#4881)"
"WE ARE THE CHAMPIONS","Song Title","9/15/08 (#4881)"
"POLICE DRAMA","Show Biz","9/15/08 (#4881)"
"STRETCH LIMOUSINE","Thing","9/16/08 (#4882)"
"MALIBU BEACH CALIFORNIA","On the Map","9/16/08 (#4882)"
"SUPREME & HANDBALL COURT","Same Name","9/16/08 (#4882)"
"RELAXING UNDER THE MIDDAY SUN","What Are You Doing?","9/16/08 (#4882)"
"CRANBERRY MUFFIN WITH ORANGE GLAZE","Food & Drink","9/16/08 (#4882)"
"ADVERTISING EXECUTIVE","Occupation","9/16/08 (#4882)"
"THE DARK SIDE OF THE MOON","Place","9/16/08 (#4882)"
"A BRISK PACE","Thing","9/16/08 (#4882)"
"PRESIDENTIAL SUITE","Place","9/17/08 (#4883)"
"PAC-MAN & DONKEY KONG","Fun & Games","9/17/08 (#4883)"
"STANDING OVATION","Show Biz","9/17/08 (#4883)"
"EIFFEL TOWER SIDEWALK CAFES HIGH FASHION","Where Are We?","9/17/08 (#4883)"
"MILES AND MILES OF PRISTINE COASTLINE","Things","9/17/08 (#4883)"
"IMPORTED SWISS CHEESE","Food & Drink","9/17/08 (#4883)"
"DANCING IN THE STREET","Song Title","9/17/08 (#4883)"
"FISHING BUDDY","Person","9/17/08 (#4883)"
"FLYING FIRST-CLASS","What Are You Doing?","9/18/08 (#4884)"
"CLAIM TO FAME","Rhyme Time","9/18/08 (#4884)"
"FRESH GUACAMOLE MADE FROM SCRATCH","Food & Drink","9/18/08 (#4884)"
"THERE'S NO PLACE LIKE HOME FRIES","Before & After","9/18/08 (#4884)"
"A POCKET SPANISH-ENGLISH DICTIONARY","Thing","9/18/08 (#4884)"
"ELITE ATHLETES","People","9/18/08 (#4884)"
"BICYCLE REPAIR SHOP","Place","9/18/08 (#4884)"
"JUKEBOX","Thing","9/18/08 (#4884)"
"FINE WINE","Rhyme Time","9/19/08 (#4885)"
"THE BIG SCREEN","Show Biz","9/19/08 (#4885)"
"WADING IN A FRESHWATER LAGOON","Fun & Games","9/19/08 (#4885)"
"PRICELESS FAMILY HEIRLOOM","Thing","9/19/08 (#4885)"
"UNCHARTED TERRITORY","Place","9/19/08 (#4885)"
"COMIC BOOK ARTIST","Occupation","9/19/08 (#4885)"
"SETTING A NEW WORLD RECORD","Event","9/19/08 (#4885)"
"COMPOUND WORDS","Things","9/19/08 (#4885)"
"MY BEST FRIEND FOREVER","Person","9/22/08 (#4886)"
"SHOPPING SPREE","Event","9/22/08 (#4886)"
"GOSSIP GIRL SCOUT COOKIES","Before & After","9/22/08 (#4886)"
"WHITE SAND & GENTLE BLUE WAVES","Things","9/22/08 (#4886)"
"BUYING CONCERT TICKETS ONLINE","What Are You Doing?","9/22/08 (#4886)"
"COMFY COUCH","Around the House","9/22/08 (#4886)"
"THE BUDDY SYSTEM","Phrase","9/22/08 (#4886)"
"LOADS OF FUN","Phrase","9/22/08 (#4886)"
"PARALLEL PARKING","What Are You Doing?","9/23/08 (#4887)"
"GUITAR LESSON","Event","9/23/08 (#4887)"
"LAKE SUPERIOR ATTITUDE","Before & After","9/23/08 (#4887)"
"BAKED MACARONI AND CHEESE","Food & Drink","9/23/08 (#4887)"
"ACRES OF LUSH FOREST","Things","9/23/08 (#4887)"
"YELLOW JACKETS","Living Things","9/23/08 (#4887)"
"PUSHING THE ENVELOPE","Phrase","9/23/08 (#4887)"
"KNOCK-KNOCK JOKE","Fun & Games","9/23/08 (#4887)"
"APPLYING TO COLLEGE","Event","9/24/08 (#4888)"
"FINDER BINDER","Rhyme Time","9/24/08 (#4888)"
"EXPIRATION & PROM DATE","Same Name","9/24/08 (#4888)"
"NEW YORK & NEW JERSEY","On the Map","9/24/08 (#4888)"
"KICKING BACK IN A PRIVATE CABANA","What Are You Doing?","9/24/08 (#4888)"
"SPIRAL STAIRCASE","Thing","9/24/08 (#4888)"
"WE'RE COMPLETE OPPOSITES","Phrase","9/24/08 (#4888)"
"BUNK BEDS","Around the House","9/24/08 (#4888)"
"I THOUGHT YOU MIGHT SAY THAT","Phrase","9/25/08 (#4889)"
"THE OLYMPIC GAMES","Event","9/25/08 (#4889)"
"HIGH-DEFINITION VIDEO CAMERA","Thing","9/25/08 (#4889)"
"GETTING AWAY FROM IT ALL","Phrase","9/25/08 (#4889)"
"VARSITY BASEBALL PLAYER","Person","9/25/08 (#4889)"
"MEOWING KITTENS","Living Things","9/25/08 (#4889)"
"REALITY TELEVISION","Show Biz","9/25/08 (#4889)"
"PURE GENIUS","Thing","9/25/08 (#4889)"
"YEARBOOK PHOTOS","Things","9/26/08 (#4890)"
"LICENSED DRIVER","Person","9/26/08 (#4890)"
"DOLPHIN & WHALE WATCHING","What Are You Doing?","9/26/08 (#4890)"
"WE MAKE A GREAT TEAM","Phrase","9/26/08 (#4890)"
"DOGGIE DOOR PRIZE","Before & After","9/26/08 (#4890)"
"BROOM & DUSTPAN","Around the House","9/26/08 (#4890)"
"DOUBLE CHILI-CHEESEBURGER","Food & Drink","9/26/08 (#4890)"
"AEROBICS CLASS","Fun & Games","9/26/08 (#4890)"
"TOO GOOD TO BE TRUE","Phrase","9/29/08 (#4891)"
"HUNTING LODGE","Place","9/29/08 (#4891)"
"RARE-BOOK COLLECTION","Thing","9/29/08 (#4891)"
"GAME SHOW HOSTESS TWINKIES","Before & After","9/29/08 (#4891)"
"SPLASHING IN THE SURF","Fun & Games","9/29/08 (#4891)"
"WAREHOUSE SALE","Event","9/29/08 (#4891)"
"ELECTRONICS TECHNICIAN","Occupation","9/29/08 (#4891)"
"MUSEUM WING","Place","9/29/08 (#4891)"
"TAXI DRIVER","Occupation","9/30/08 (#4892)"
"HOT FUDGE SUNDAE","Food & Drink","9/30/08 (#4892)"
"SWINGING AT A PINATA","Fun & Games","9/30/08 (#4892)"
"THE APOLLO THEATER IN HARLEM","Landmark","9/30/08 (#4892)"
"BALD & SWEET SPOT","Same Name","9/30/08 (#4892)"
"DROP CEILING","Around the House","9/30/08 (#4892)"
"DOG OBEDIENCE SCHOOL","Place","9/30/08 (#4892)"
"NICKELS DIMES AND QUARTERS","Things","9/30/08 (#4892)"
"COAT OF VARNISH","Thing","9/30/08 (#4892)"
"GUIDED WALKING TOUR","Event","10/1/08 (#4893)"
"DEEP-PILE CARPET","Around the House","10/1/08 (#4893)"
"HILTON HEAD SOUTH CAROLINA","On the Map","10/1/08 (#4893)"
"WILD MUSHROOM RAVIOLI","Food & Drink","10/1/08 (#4893)"
"IN THE RIGHT PLACE AT THE RIGHT TIME","Phrase","10/1/08 (#4893)"
"BLACK-EYED SUSAN","Living Thing","10/1/08 (#4893)"
"TOM CRUISE & KATIE HOLMES","Husband & Wife","10/1/08 (#4893)"
"PEELING A BANANA","What Are You Doing?","10/1/08 (#4893)"
"PHOTO LAB","Place","10/1/08 (#4893)"
"INTERSTATE HIGHWAY","Place","10/2/08 (#4894)"
"FLAVOR SAVER","Rhyme Time","10/2/08 (#4894)"
"ADVENTURE AWAITS","Phrase","10/2/08 (#4894)"
"AUTOMATIC GARAGE DOOR OPENER","Around the House","10/2/08 (#4894)"
"POTATO CHIP ON MY SHOULDER","Before & After","10/2/08 (#4894)"
"TOY FOX TERRIER","Living Thing","10/2/08 (#4894)"
"LITTLE LEAGUE BASEBALL","Fun & Games","10/2/08 (#4894)"
"ALLENTOWN PENNSYLVANIA","On the Map","10/2/08 (#4894)"
"DELI MUSTARD","Food & Drink","10/2/08 (#4894)"
"SHOP AROUND","Phrase","10/2/08 (#4894)"
"THE PACIFIC RIM","On the Map","10/3/08 (#4895)"
"BRIDGE TOURNAMENT","Fun & Games","10/3/08 (#4895)"
"CHILDREN'S MUSIC CLASS","Event","10/3/08 (#4895)"
"THICK PLUSH BEACH TOWELS","Around the House","10/3/08 (#4895)"
"UNIVERSITY ATHLETIC DIRECTOR","Occupation","10/3/08 (#4895)"
"SATELLITE PHONE","Thing","10/3/08 (#4895)"
"THANKS BUT NO THANKS","Phrase","10/3/08 (#4895)"
"OATH OF OFFICE","Thing","10/3/08 (#4895)"
"HANG GLIDING","Fun & Games","10/6/08 (#4896)"
"THRILLS & SPILLS","Rhyme Time","10/6/08 (#4896)"
"TWILIGHT & TOW-AWAY ZONE","Same Name","10/6/08 (#4896)"
"TO DREAM THE IMPOSSIBLE DREAM","Quotation","10/6/08 (#4896)"
"THREE-CHEESE LASAGNA WITH ITALIAN SAUSAGE","Food & Drink","10/6/08 (#4896)"
"CACTUS FLOWERS","Living Things","10/6/08 (#4896)"
"BINOCULARS & TELESCOPES","Things","10/6/08 (#4896)"
"SPARK PLUG","Thing","10/6/08 (#4896)"
"RUNNING THE RAPIDS","Fun & Games","10/7/08 (#4897)"
"HAVANA CUBA","On the Map","10/7/08 (#4897)"
"FAITH HILL OF BEANS","Before & After","10/7/08 (#4897)"
"COLLECTING SEASHELLS AND CORAL","What Are You Doing?","10/7/08 (#4897)"
"AROUND THE WORLD IN EIGHTY DAYS","Title","10/7/08 (#4897)"
"THE FAST LANE","Place","10/7/08 (#4897)"
"STEREO SPEAKERS","Around the House","10/7/08 (#4897)"
"EXIT RAMP","Place","10/7/08 (#4897)"
"AMERICA'S CUP","Event","10/8/08 (#4898)"
"AIRPORT LOUNGE","Place","10/8/08 (#4898)"
"IMAX MOVIE THEATER","Show Biz","10/8/08 (#4898)"
"MY LUCK IS ABOUT TO CHANGE","Phrase","10/8/08 (#4898)"
"TO BOLDLY GO WHERE NO MAN HAS GONE BEFORE","Quotation","10/8/08 (#4898)"
"STEALING SECOND BASE","Fun & Games","10/8/08 (#4898)"
"THE PETRIFIED FOREST","Landmark","10/8/08 (#4898)"
"CHARISMA","Thing","10/8/08 (#4898)"
"SUPERSONIC JET","Thing","10/9/08 (#4899)"
"STUNT DRIVER","Show Biz","10/9/08 (#4899)"
"CHRISTIAN BALE AS BATMAN THE DARK KNIGHT","Star & Role","10/9/08 (#4899)"
"THE SOUTH POLE VAULT","Before & After","10/9/08 (#4899)"
"BRIEF PERIOD OF WARM AFTERNOON SHOWERS","Event","10/9/08 (#4899)"
"BORN TO BE WILD","Song Title","10/9/08 (#4899)"
"BOTTLE OPENER","Around the House","10/9/08 (#4899)"
"A LOUD VOICE","Thing","10/9/08 (#4899)"
"GOING ON SAFARI","Event","10/10/08 (#4900)"
"ABOVE AND BEYOND","Phrase","10/10/08 (#4900)"
"NATIONAL GEOGRAPHIC CHANNEL","Show Biz","10/10/08 (#4900)"
"IT'S TWINS FOR ANGELINA JOLIE & BRAD PITT","Headline","10/10/08 (#4900)"
"PICKING UP A GAME OF BEACH VOLLEYBALL","What Are You Doing?","10/10/08 (#4900)"
"SPICE & DICE","Rhyme Time","10/10/08 (#4900)"
"BLINDED BY THE LIGHT","Song Title","10/10/08 (#4900)"
"BOB DYLAN","Proper Name","10/10/08 (#4900)"
"MAPLE LEAF","Living Thing","10/13/08 (#4901)"
"NIAGRA FALLS","Landmark","10/13/08 (#4901)"
"HOCKEY LEGEND WAYNE GRETZKY","Proper Name","10/13/08 (#4901)"
"TOSSING A FRISBEE ON THE BEACH","Fun & Games","10/13/08 (#4901)"
"BIBLE CLASS CLOWN","Before & After","10/13/08 (#4901)"
"LUMBERJACK BREAKFAST","Food & Drink","10/13/08 (#4901)"
"MEMBERS OF PARLIAMENT","People","10/13/08 (#4901)"
"JEAN SHORTS","Things","10/13/08 (#4901)"
"THE YUKON RIVER","On the Map","10/14/08 (#4902)"
"LACROSSE STICK","Fun & Games","10/14/08 (#4902)"
"FRENCH TOAST WITH BANANA & MACADAMIA NUTS","Food & Drink","10/14/08 (#4902)"
"BLACK BEAR AND BROWN BEAR","Living Things","10/14/08 (#4902)"
"TORONTO'S SPECTACULAR SKYLINE","Thing","10/14/08 (#4902)"
"ACTOR JIM CARREY","Proper Name","10/14/08 (#4902)"
"PANNING FOR GOLD","Event","10/14/08 (#4902)"
"LEAKY FAUCET","Around the House","10/14/08 (#4902)"
"EDMONTON OILERS","Proper Name","10/15/08 (#4903)"
"KLONDIKE BAR","Food & Drink","10/15/08 (#4903)"
"SINGING SUPERSTAR CELINE DION","Show Biz","10/15/08 (#4903)"
"I'M GONNA SOAK UP THE SUN","Song Lyrics","10/15/08 (#4903)"
"NOBEL PEACE PRIZE PUZZLE","Before & After","10/15/08 (#4903)"
"HUDSON BAY","On the Map","10/15/08 (#4903)"
"FLOCK OF SNOW GEESE","Living Things","10/15/08 (#4903)"
"LIVING ABROAD","Phrase","10/15/08 (#4903)"
"HERD OF MOOSE","Living Things","10/16/08 (#4904)"
"ALASKA HIGHWAY","On the Map","10/16/08 (#4904)"
"JEOPARDY! HOST ALEX TREBEK","Show Biz","10/16/08 (#4904)"
"LOVE & LOWER-CASE LETTERS","Same Name","10/16/08 (#4904)"
"HIKING, BIKING & HORSEBACK RIDING","Fun & Games","10/16/08 (#4904)"
"VANCOUVER CANUCKS","Proper Name","10/16/08 (#4904)"
"WOOD-BURNING STOVE","In the Kitchen","10/16/08 (#4904)"
"FIGHT THE URGE","Phrase","10/16/08 (#4904)"
"THE ARCTIC CIRCLE","On the Map","10/17/08 (#4905)"
"APPLE FRITTER","Food & Drink","10/17/08 (#4905)"
"THE OLYMPIC SPORT OF CURLING","Fun & Games","10/17/08 (#4905)"
"TAKING PARASAILING LESSONS","What Are You Doing?","10/17/08 (#4905)"
"THE CALL OF THE WILD BY JACK LONDON","Title/Author","10/17/08 (#4905)"
"FLIGHT INSTRUCTOR","Occupation","10/17/08 (#4905)"
"SCARVES & MITTENS","Around the House","10/17/08 (#4905)"
"FOOTPATH","Place","10/17/08 (#4905)"
"GETTING CARRIED AWAY","Phrase","10/20/08 (#4906)"
"LAKE MICHIGAN","On the Map","10/20/08 (#4906)"
"NICOLAS & HAMSTER CAGE","Same Name","10/20/08 (#4906)"
"SANDY SHORELINE","Place","10/20/08 (#4906)"
"THE BABY OF THE FAMILY","Person","10/20/08 (#4906)"
"GOOD HOUSEKEEPING","Title","10/20/08 (#4906)"
"CERTIFICATE OF AUTHENTICITY","Thing","10/20/08 (#4906)"
"UPHILL CLIMB","Phrase","10/20/08 (#4906)"
"THE NEXT BIG THING","Phrase","10/21/08 (#4907)"
"HORSE STABLE","Place","10/21/08 (#4907)"
"KID STAR ABIGAIL BRESLIN","Proper Name","10/21/08 (#4907)"
"PUPPETS AND MARIONETTES","Things","10/21/08 (#4907)"
"A REFRESHING DIP IN THE OCEAN","Event","10/21/08 (#4907)"
"STORAGE CLOSET","Around the House","10/21/08 (#4907)"
"LOADING THE DISHWASHER","What Are You Doing?","10/21/08 (#4907)"
"BLAZING SPEED","Thing","10/21/08 (#4907)"
"WATCH AND LEARN","Phrase","10/22/08 (#4908)"
"PHONEY BALONEY","Rhyme Time","10/22/08 (#4908)"
"SIMPLE SIMON COWELL","Before & After","10/22/08 (#4908)"
"KANGAROOS AND KOALAS","Living Things","10/22/08 (#4908)"
"POOLSIDE BEVERAGE SERVICE","Thing","10/22/08 (#4908)"
"GYMNASTICS COACH","Occupation","10/22/08 (#4908)"
"SKATEBOARDS & ROLLERBLADES","Fun & Games","10/22/08 (#4908)"
"DAILY DIARY","Thing","10/22/08 (#4908)"
"FIREWORKS SHOW","Event","10/23/08 (#4909)"
"MUSCLE & FITNESS","Title","10/23/08 (#4909)"
"DELICIOUS DARK RUM","Food & Drink","10/23/08 (#4909)"
"MOM AND POP-TARTS","Before & After","10/23/08 (#4909)"
"JACK & DIANE BY JOHN MELLENCAMP","Song/Artist","10/23/08 (#4909)"
"LOBSTER POT","In the Kitchen","10/23/08 (#4909)"
"ACTOR CHARLIE SHEEN","Proper Name","10/23/08 (#4909)"
"INCHWORM","Living Thing","10/23/08 (#4909)"
"ORLANDO FLORDIA","On the Map","10/24/08 (#4910)"
"BACKSEAT DRIVER","Person","10/24/08 (#4910)"
"COUNTLESS SHADES OF GREEN","Phrase","10/24/08 (#4910)"
"HANDCRAFTED DIAMOND PENDANT","Thing","10/24/08 (#4910)"
"BUTTERFLY STROKE OF GENIUS","Before & After","10/24/08 (#4910)"
"HELICOPTER PILOT","Occupation","10/24/08 (#4910)"
"KINGS CANYON NATIONAL PARK","Landmark","10/24/08 (#4910)"
"DEBIT CARD","Thing","10/24/08 (#4910)"
"THE WITCHING HOUR","Thing","10/27/08 (#4911)"
"FLY-FISHING","Fun & Games","10/27/08 (#4911)"
"HAUNTED HOUSE SALAD","Before & After","10/27/08 (#4911)"
"PUMPKIN PIE WITH WHIPPED TOPPING","Food & Drink","10/27/08 (#4911)"
"I HEAR IT'S BEAUTIFUL THIS TIME OF YEAR","Phrase","10/27/08 (#4911)"
"THE OZARK MOUNTAINS","On the Map","10/27/08 (#4911)"
"BREAKING FLOORBOARDS","Around the House","10/27/08 (#4911)"
"ESTATE SALE","Event","10/27/08 (#4911)"
"PLAYING A HUNCH","Phrase","10/27/08 (#4911)"
"GHOSTS & GOBLINS","Fictional Characters","10/28/08 (#4912)"
"CHOCOLATE SYRUP","Food & Drink","10/28/08 (#4912)"
"MICHAEL PHELPS BRINGS HOME EIGHT GOLD MEDALS","Headline","10/28/08 (#4912)"
"EXCELLENT SKI CONDITIONS","Phrase","10/28/08 (#4912)"
"POLITICAL & COSTUME PARTY","Same Name","10/28/08 (#4912)"
"BRAZIL & CHILE","On the Map","10/28/08 (#4912)"
"SUPERNATURAL PHENOMENON","Thing","10/28/08 (#4912)"
"SPORTSWRITER","Occupation","10/28/08 (#4912)"
"HEAVY DOWNPOUR","Event","10/28/08 (#4912)"
"TRICK OR TREAT","Phrase","10/29/08 (#4913)"
"DIGITAL CORDLESS PHONE","Around the House","10/29/08 (#4913)"
"MERYL STREEP STARS IN MAMMA MIA!","Show Biz","10/29/08 (#4913)"
"LOCALLY CAUGHT FRESH FISH","Food & Drink","10/29/08 (#4913)"
"FANTASY FOOTBALL LEAUGE","Fun & Games","10/29/08 (#4913)"
"WORLD ALMANAC","Thing","10/29/08 (#4913)"
"BLACK WIDOW SPIDER","Living Thing","10/29/08 (#4913)"
"TWO-HEADED MONSTER","Fictional Characters","10/29/08 (#4913)"
"HIGH FIVE","Thing","10/29/08 (#4913)"
"TRANSYLVANIA","On the Map","10/30/08 (#4914)"
"SPECIAL EFFECTS","Show Biz","10/30/08 (#4914)"
"WEREWOLVES OF LONDON","Song Title","10/30/08 (#4914)"
"PRESIDENTIAL & HARBOR SEAL","Same Name","10/30/08 (#4914)"
