"PUZZLE","CATEGORY","DATE USED"
"GOOEY TAFFY","Food & Drink","4/13/09 (#5031)"
"THE NUTTY PROFESSOR","Movie Title","4/14/09 (#5032)"
"COMPUTER LAB","Place","4/14/09 (#5032)"
"LOOKING AT PHOTOS ON FACEBOOK","What Are You Doing?","4/14/09 (#5032)"
"HANGING OUT AT A FRESHWATER POOL","Event","4/14/09 (#5032)"
"TERM & TISSUE PAPER","Same Name","4/14/09 (#5032)"
"MICROWAVE POPCORN","Food & Drink","4/14/09 (#5032)"
"RESIDENT ASSISTANT","Person","4/14/09 (#5032)"
"FOND MEMORIES","Things","4/14/09 (#5032)"
"TIGHT GRASP","Thing","4/14/09 (#5032)"
"GREAT EXPECTATIONS","Title","4/15/09 (#5033)"
"FILL IN THE BLANK","Phrase","4/15/09 (#5033)"
"LISTENING TO A PODCAST","What Are You Doing?","4/15/09 (#5033)"
"GRADE POINT AVERAGE JOE","Before & After","4/15/09 (#5033)"
"EXCLUSIVE CLUBS AND TRENDY SPOTS","Places","4/15/09 (#5033)"
"MEATBALL SUB","Food & Drink","4/15/09 (#5033)"
"BIG MAN ON CAMPUS","Person","4/15/09 (#5033)"
"WORTHY CAUSE","Thing","4/15/09 (#5033)"
"LECTURE HALL","Place","4/16/09 (#5034)"
"CALL YOUR MOTHER","Phrase","4/16/09 (#5034)"
"SIZING UP THE COMPETITION","What Are You Doing?","4/16/09 (#5034)"
"STREAKING OVER THE OCEAN ON A JET SKI","Fun & Games","4/16/09 (#5034)"
"FACULTY LOUNGE LIZARD","Before & After","4/16/09 (#5034)"
"GOLDFISH CRACKERS","Food & Drink","4/16/09 (#5034)"
"GREEK ALPHABET","Thing","4/16/09 (#5034)"
"DOWN TO THE WIRE","Phrase","4/16/09 (#5034)"
"SPRING FEVER","Phrase","4/17/09 (#5035)"
"CULT CLASSIC FILM","Show Biz","4/17/09 (#5035)"
"PARTY ANIMAL TRAINER","Before & After","4/17/09 (#5035)"
"FRATERNITY BROTHERS & SORORITY SISTERS","People","4/17/09 (#5035)"
"BLACK BEAN AND CHEESE BURRITO","Food & Drink","4/17/09 (#5035)"
"ESSAY QUESTION","Thing","4/17/09 (#5035)"
"STUDY-ABROAD PROGRAM","College Life","4/17/09 (#5035)"
"LANDING STRIP","Place","4/17/09 (#5035)"
"ADVERBS & ADJECTIVES","Things","4/17/09 (#5035)"
"CATTLE RANCHER","Occupation","4/20/09 (#5036)"
"RINGSIDE SEATS","Place","4/20/09 (#5036)"
"SLICED PORTOBELLO MUSHROOMS","Food & Drink","4/20/09 (#5036)"
"HICKORY DICKORY DOCK WORKER","Before & After","4/20/09 (#5036)"
"BURYING EACH OTHER IN THE SAND","Fun & Games","4/20/09 (#5036)"
"RENAISSANCE MAN","Person","4/20/09 (#5036)"
"SPORTSCASTER BOB COSTAS","Proper Name","4/20/09 (#5036)"
"A GOOD VIBE","Thing","4/20/09 (#5036)"
"OPTICAL ILLUSION","Thing","4/21/09 (#5037)"
"EUCALYPTUS TREE","Living Thing","4/21/09 (#5037)"
"WHEN THE LIGHTS GO DOWN IN THE CITY","Song Lyrics","4/21/09 (#5037)"
"BATHING IN THE GOLDEN SUN","Fun & Games","4/21/09 (#5037)"
"BONELESS CENTER-CUT PORK CHOPS","Food & Drink","4/21/09 (#5037)"
"TOO CLOSE TO CALL","Event","4/21/09 (#5037)"
"DRAMATIC DEVELOPEMENT","Event","4/21/09 (#5037)"
"GUSTY WINDS","Things","4/21/09 (#5037)"
"WHEEL AND DEAL","Rhyme Time","4/22/09 (#5038)"
"SOFA SLIPCOVER","Around the House","4/22/09 (#5038)"
"VISITING THE LIBERTY BELL IN PHILADELPHIA","Event","4/22/09 (#5038)"
"PANORAMIC COASTAL VIEWS","Thing","4/22/09 (#5038)"
"DELAYED FLIGHT SCHOOL","Before & After","4/22/09 (#5038)"
"BISCUITS AND GRAVY","Food & Drink","4/22/09 (#5038)"
"CHIEF STRATEGIST","Person","4/22/09 (#5038)"
"GIVE AND TAKE","Phrase","4/22/09 (#5038)"
"HANG ON TO YOUR HATS","Phrase","4/23/09 (#5039)"
"A TEAM PLAYER","Person","4/23/09 (#5039)"
"SINGER-SONGWRITER TAYLOR SWIFT","Proper Name","4/23/09 (#5039)"
"PEER PRESSURE COOKER","Before & After","4/23/09 (#5039)"
"LAND OF THE NORTHERN LIGHTS","Place","4/23/09 (#5039)"
"WITCHITA KANSAS","On the Map","4/23/09 (#5039)"
"INVESTIGATIVE REPORTER","Occupation","4/23/09 (#5039)"
"LEATHER GLOVES","Things","4/23/09 (#5039)"
"SQUARE PEG","Thing","4/23/09 (#5039)"
"UP TO SPEED","Phrase","4/24/09 (#5040)"
"PLAYING PINBALL","Fun & Games","4/24/09 (#5040)"
"APRIL SHOWERS BRING MAY FLOWERS","Rhyme Time","4/24/09 (#5040)"
"WRESTLING & FIREPLACE MATCH","Same Name","4/24/09 (#5040)"
"PICTURESQUE FISHING VILLAGES","Places","4/24/09 (#5040)"
"TULSA OKLAHOMA","On the Map","4/24/09 (#5040)"
"LOOKS LIKE WE MADE IT","Song Title","4/24/09 (#5040)"
"HURRY BACK","Phrase","4/24/09 (#5040)"
"HOW SWEET IT IS","Phrase","4/27/09 (#5041)"
"FLOWER POWER","Rhyme Time","4/27/09 (#5041)"
"CRANBERRY WALNUT SCONE","Food & Drink","4/27/09 (#5041)"
"ABSOLUTELY PERFECT STRETCH OF BEACH","Place","4/27/09 (#5041)"
"MR. POTATO HEAD COACH","Before & After","4/27/09 (#5041)"
"FOUR-POSTER BED","Around the House","4/27/09 (#5041)"
"VOTE OF CONFIDENCE","Thing","4/27/09 (#5041)"
"FASHION BOUTIQUE","Place","4/27/09 (#5041)"
"FIRST-TIMER","Person","4/28/09 (#5042)"
"TWIST & TURNS","Things","4/28/09 (#5042)"
"VISIT OUR OFFICIAL WEBSITE","Phrase","4/28/09 (#5042)"
"THE MIDAS TOUCH FOOTBALL","Before & After","4/28/09 (#5042)"
"MAGNIFICENT CARIBBEAN PARADISE","Place","4/28/09 (#5042)"
"PROFESSIONAL BUTLER","Occupation","4/28/09 (#5042)"
"CHIRPING PARAKEETS","Living Things","4/28/09 (#5042)"
"OUTSIDE THE BOX","Phrase","4/28/09 (#5042)"
"NOTHING BUT THE TRUTH","Phrase","4/29/09 (#5043)"
"ESCAPE ROUTE","Place","4/29/09 (#5043)"
"SUPERB FIVE-STAR CUISINE","Food & Drink","4/29/09 (#5043)"
"CONGA & ASSEMBLY LINE","Same Name","4/29/09 (#5043)"
"CRAZY LITTLE THING CALLED LOVE","Song Title","4/29/09 (#5043)"
"MORAY EEL","Living Thing","4/29/09 (#5043)"
"HEART-WARMING STORIES","Thing","4/29/09 (#5043)"
"BUCKLE UP","Phrase","4/29/09 (#5043)"
"ROMANTIC RETREAT","Place","4/30/09 (#5044)"
"DRIVING INSTRUCTOR","Person","4/30/09 (#5044)"
"MY COMPLIMENTS TO THE CHEF","Phrase","4/30/09 (#5044)"
"PAMPERING YOURSELF WITH A FULL-BODY MASSAGE","Event","4/30/09 (#5044)"
"MONKEY BUSINESS DEGREE","Before & After","4/30/09 (#5044)"
"MYSTERY NOVEL","Place","4/30/09 (#5044)"
"CLIFFHANGER ENDING","Show Biz","4/30/09 (#5044)"
"PLAID BLOUSE","Thing","4/30/09 (#5044)"
"BIG WINNER","Person","5/1/09 (#5045)"
"WHITE PELICAN","Living Thing","5/1/09 (#5045)"
"TWENTY-FOUR HOUR ROOM SERVICE","Thing","5/1/09 (#5045)"
"WHISPERING SWEET NOTHINGS","What Are You Doing?","5/1/09 (#5045)"
"SNORKELING IN CRYSTAL CLEAR WATERS","Fun & Games","5/1/09 (#5045)"
"HARRY CONNICK JR.","Proper Name","5/1/09 (#5045)"
"CHERRY ORCHARD","Place","5/1/09 (#5045)"
"KARAOKE MACHINE","Thing","5/1/09 (#5045)"
"A DISTANT LAND","Place","5/4/09 (#5046)"
"CREAM AND SUGAR","Food & Drink","5/4/09 (#5046)"
"THE HARLEM GLOBETROTTERS","Proper Name","5/4/09 (#5046)"
"TAKING WINDSURFING LESSONS","Fun & Games","5/4/09 (#5046)"
"CITY HALL & OATES","Before & After","5/4/09 (#5046)"
"MAGAZINE RACK","Around the House","5/4/09 (#5046)"
"LATITUDE & LONGITUDE","Things","5/4/09 (#5046)"
"HOLY COW","Phrase","5/4/09 (#5046)"
"NOW OR NEVER","Phrase","5/5/09 (#5047)"
"IMAGINARY FRIEND","Fictional Character","5/5/09 (#5047)"
"SURFING ON THE NORTH SHORE","Fun & Games","5/5/09 (#5047)"
"YOU ARE THE SUNSHINE OF MY LIFE PRESERVER","Before & After","5/5/09 (#5047)"
"ACADEMY AWARD WINNER KATE WINSLET","Show Biz","5/5/09 (#5047)"
"SPOTTED LEOPARD","Living Thing","5/5/09 (#5047)"
"READING A COMPASS","What Are You Doing?","5/5/09 (#5047)"
"NEW ZEALAND","On the Map","5/5/09 (#5047)"
"KEYHOLE","Thing","5/5/09 (#5047)"
"WORLD ATLAS","Thing","5/6/09 (#5048)"
"COOKIE JAR","In the Kitchen","5/6/09 (#5048)"
"STRIKE WHILE THE IRON IS HOT","Phrase","5/6/09 (#5048)"
"I WANT TO WAKE UP IN A CITY THAT NEVER SLEEPS","Song Lyrics","5/6/09 (#5048)"
"TIN MAN, SCARECROW & THE COWARDLY LION","Fictional Characters","5/6/09 (#5048)"
"JUMBO SHRIMP","Food & Drink","5/6/09 (#5048)"
"TIGHTROPE WALKER","Show Biz","5/6/09 (#5048)"
"A WINK AND A NOD","Thing","5/6/09 (#5048)"
"TAZMANIAN DEVIL","Living Thing","5/7/09 (#5049)"
"READY FREDDY","Rhyme Time","5/7/09 (#5049)"
"I'M ON THE EDGE OF MY SEAT","Phrase","5/7/09 (#5049)"
"EASTER & ENERGIZER BUNNY","Same Name","5/7/09 (#5049)"
"SIPPING A MARGARITA ON THE BALCONY","What Are You Doing?","5/7/09 (#5049)"
"TO BE OR NOT TO BE","Quotation","5/7/09 (#5049)"
"BREADBASKET","In the Kitchen","5/7/09 (#5049)"
"BIG-LEAGUE UMPIRE","Occupation","5/7/09 (#5049)"
"ROBINSON CRUSOE","Fictional Character","5/8/09 (#5050)"
"TRUTH OR DARE","Fun & Games","5/8/09 (#5050)"
"BE SURE TO PACK A SWIMSUIT","Phrase","5/8/09 (#5050)"
"STRAWBERRY FIELDS FOREVER BY THE BEATLES","Song/Artist","5/8/09 (#5050)"
"SPICY SMOKED POLISH SAUSAGE","Food & Drink","5/8/09 (#5050)"
"A FLOCK OF SEAGULLS","Living Things","5/8/09 (#5050)"
"THE PARTHENON IN ATHENS","Landmark","5/8/09 (#5050)"
"MEDIA BLITZ","Show Biz","5/8/09 (#5050)"
"MAKING A CHECKLIST","What Are You Doing?","5/11/09 (#5051)"
"RED-TAILED HAWK","Living Thing","5/11/09 (#5051)"
"THE CAPTAIN OF A LUXURY VESSEL","Person","5/11/09 (#5051)"
"THE WASHINGTON MONUMENT","Landmark","5/11/09 (#5051)"
"ALEXANDER THE GREAT OUTDOORS","Before & After","5/11/09 (#5051)"
"NEEDLE AND THREAD","Around the House","5/11/09 (#5051)"
"TIME IS OF THE ESSENCE","Phrase","5/11/09 (#5051)"
"EPIC JOURNEY","Event","5/11/09 (#5051)"
"BASEBALL GLOVE","Fun & Games","5/12/09 (#5052)"
"LAKE ERIE","On the Map","5/12/09 (#5052)"
"HE'S JUST NOT THAT INTO YOU","Movie Title","5/12/09 (#5052)"
"UNWINDING WITH A STROLL ON THE BEACH","What Are You Doing?","5/12/09 (#5052)"
"HOMEMADE BUTTERSCOTCH PUDDING","Food & Drink","5/12/09 (#5052)"
"THE JONAS BROTHERS","Family","5/12/09 (#5052)"
"STORE IN A COOL DRY PLACE","Phrase","5/12/09 (#5052)"
"BANQUET TABLE","Thing","5/12/09 (#5052)"
"EXPRESS LANE","Place","5/13/09 (#5053)"
"SAME NAME","Rhyme Time","5/13/09 (#5053)"
"MUSEUM & CHICKEN WING","Same Name","5/13/09 (#5053)"
"PETER PARKER'S ALTER EGO SPIDER-MAN","Fictional Character","5/13/09 (#5053)"
"WALKING UP TO THE SOUND OF WAVES","What Are You Doing?","5/13/09 (#5053)"
"BEEF BARLEY SOUP","Food & Drink","5/13/09 (#5053)"
"THAT'S WHAT YOU THINK","Phrase","5/13/09 (#5053)"
"OVERACHIEVER","Person","5/13/09 (#5053)"
"PICNIC AREA","Place","5/14/09 (#5054)"
"MASTER CRAFTSMAN","Person","5/14/09 (#5054)"
"BRAND SPANKING NEW","Phrase","5/14/09 (#5054)"
"THE COMPLETE WORKS OF WILLIAM SHAKESPEARE","Title","5/14/09 (#5054)"
"OZONE LAYER CAKE","Before & After","5/14/09 (#5054)"
"ST. LAWRENCE SEAWAY","On the Map","5/14/09 (#5054)"
"COMMEMORATIVE PLATES","Around the House","5/14/09 (#5054)"
"GOOSE BUMPS","Things","5/14/09 (#5054)"
"GOLF DIGEST","Title","5/15/09 (#5055)"
"HAPPY NEWLYWEDS","People","5/15/09 (#5055)"
"THE GATEWAY ARCH IN ST. LOUIS","Landmark","5/15/09 (#5055)"
"AGAINST THE WIND BY BOB SEGER","Song/Artist","5/15/09 (#5055)"
"RECEIVING STAR TREATMENT AT THE SPA","Fun & Games","5/15/09 (#5055)"
"DIRECTOR'S CHAIR","Show Biz","5/15/09 (#5055)"
"GIVE IT YOUR BEST SHOT","Phrase","5/15/09 (#5055)"
"SMOOTH JAZZ","Show Biz","5/15/09 (#5055)"
"WHAT A FEELING","Song Lyrics","5/18/09 (#5056)"
"HEART AND SOUL","Things","5/18/09 (#5056)"
"COCONUT-SCENTED SOAP OPERA","Before & After","5/18/09 (#5056)"
"MANDARIN DUCK WITH VEGETABLE SPRING ROLLS","Food & Drink","5/18/09 (#5056)"
"THE BEGINNING OF A BEAUTIFUL FRIENDSHIP","Quotation","5/18/09 (#5056)"
"SIBERIAN HUSKY","Living Thing","5/18/09 (#5056)"
"WHEN YOU'RE HOT YOU'RE HOT","Phrase","5/18/09 (#5056)"
"A WIDE VARIETY","Phrase","5/18/09 (#5056)"
"ORCHESTRA SEATS","Place","5/19/09 (#5057)"
"A CREATURE OF HABIT","Person","5/19/09 (#5057)"
"LISTENING TO LIVE REGGAE MUSIC","What Are You Doing?","5/19/09 (#5057)"
"KARATE & PORK CHOP","Same Name","5/19/09 (#5057)"
"A LONG TIME AGO IN A GALAXY FAR FAR AWAY","Quotation","5/19/09 (#5057)"
"EVERYBODY SAY CHEESE","Phrase","5/19/09 (#5057)"
"NEW YORK'S CENTRAL PARK","Landmark","5/19/09 (#5057)"
"NEVER-BEFORE SEEN PHOTOS","Things","5/19/09 (#5057)"
"OUT OF BOUNDS","Phrase","5/19/09 (#5057)"
"THREE WISHES","Things","5/20/09 (#5058)"
"MOURNING DOVE","Living Things","5/20/09 (#5058)"
"I FEEL LIKE A MILLION BUCKS","Phrase","5/20/09 (#5058)"
"MAKING FRIENDS AT THE SWIM-UP BAR","What Are You Doing?","5/20/09 (#5058)"
"LOBSTER POT OF GOLD","Before & After","5/20/09 (#5058)"
"CELEBRITY STYLIST","Show Biz","5/20/09 (#5058)"
"HOME THEATER SYSTEM","Around the House","5/20/09 (#5058)"
"HOT DOG VENDOR","Occupation","5/20/09 (#5058)"
"SOLEMN VOW","Thing","5/20/09 (#5058)"
"A HOLE IN ONE","Fun & Games","5/21/09 (#5059)"
"ACTING COACH","Show Biz","5/21/09 (#5059)"
"A PINCH OF THIS AND A DASH OF THAT","Phrase","5/21/09 (#5059)"
"TWO AND A HALF MEN IN BLACK","Before & After","5/21/09 (#5059)"
"SNOW-COVERED MOUNTAIN PEAKS","Places","5/21/09 (#5059)"
"WHITE PICKET FENCE","Person","5/21/09 (#5059)"
"MUTUAL ACQUAINTANCE","Person","5/21/09 (#5059)"
"SQUEAKY CLEAN","Phrase","5/21/09 (#5059)"
"FORTUNE COOKIES","Food & Drink","5/22/09 (#5060)"
"STEAM ROOM","Places","5/22/09 (#5060)"
"WHEN IRISH EYES ARE SMILING","Song Title","5/22/09 (#5060)"
"WE HAVE TO STOP MEETING LIKE THIS","Places","5/22/09 (#5060)"
"CHARLIE AND THE CHOCOLATE FACTORY WARRANTY","Before & After","5/22/09 (#5060)"
"NEW DELHI INDIA","On the Map","5/22/09 (#5060)"
"MILEY CYRUS AS HANNAH MONTANA","Star & Role","5/22/09 (#5060)"
"BAGGAGE CLAIM","Place","5/22/09 (#5060)"
"MY GENERATION","Song Title","5/25/09 (#5061)"
"PORTLAND OREGON","On the Map","5/25/09 (#5061)"
"WATCHING VIDEOS ON YOUTUBE","What Are You Doing?","5/25/09 (#5061)"
"SEMESTER & LUCKY BREAK","Same Name","5/25/09 (#5061)"
"CAJUN CHICKEN OVER WILD RICE","Food & Drink","5/25/09 (#5061)"
"RUNNER-UP","Person","5/25/09 (#5061)"
"GRADUATION CEREMONY","Event","5/25/09 (#5061)"
"GIANT SQUID","Living Thing","5/25/09 (#5061)"
"ANCHORAGE ALASKA","On the Map","5/26/09 (#5062)"
"GOLDEN RETRIEVER","Living Thing","5/26/09 (#5062)"
"KEEP YOUR FINGERS CROSSED","Phrase","5/26/09 (#5062)"
"MILES OF FLAWLESS SANDY","Things","5/26/09 (#5062)"
"EVERYBODY'S GOT A HUNGRY HEART","Song Lyrics","5/26/09 (#5062)"
"CRUSHED RED PEPPER","Food & Drink","5/26/09 (#5062)"
"CAST OF CHARACTERS","Show Biz","5/26/09 (#5062)"
"FANCY FOOTWORK","Thing","5/26/09 (#5062)"
"ATLANTIC CITY","On the Map","5/27/09 (#5063)"
"ACTOR MARK WAHLBERG","Proper Name","5/27/09 (#5063)"
"REFRIGERATE AFTER OPENING","Phrase","5/27/09 (#5063)"
"BY DAWN'S EARLY LIGHT BULB","Before & After","5/27/09 (#5063)"
"STRUMMING A UKULELE","What Are You Doing?","5/27/09 (#5063)"
"AEROBICS INSTRUCTOR","Occupation","5/27/09 (#5063)"
"GREATEST HITS ALBUM","Rock On!","5/27/09 (#5063)"
"DIRECT QUOTE","Thing","5/27/09 (#5063)"
"ONLY IN AMERICA","Phrase","5/28/09 (#5064)"
"CHARCOAL GRILL","Around the House","5/28/09 (#5064)"
"PINOCCHIO AND JIMINY CRIKET","Fictional Characters","5/28/09 (#5064)"
"HIKING AMONG EXOTIC PLANTS AND ANIMALS","Fun & Games","5/28/09 (#5064)"
"RUBBER DUCK SAUCE","Before & After","5/28/09 (#5064)"
"PEEKABOO I SEE YOU","Rhyme Time","5/28/09 (#5064)"
"CONTINENTAL BREAKFAST","Food & Drink","5/28/09 (#5064)"
"COURT IS ADJOURNED","Phrase","5/28/09 (#5064)"
"COMMON SENSE","Thing","5/29/09 (#5065)"
"HERD OF CARIBOU","Living Things","5/29/09 (#5065)"
"THE TIDE IS TURNING IN YOUR FAVOR","Phrase","5/29/09 (#5065)"
"CRAYONS MAGIC MARKERS & COLORED PENCILS","Around the House","5/29/09 (#5065)"
"ALICE'S ADVENTURES IN WONDERLAND","Title","5/29/09 (#5065)"
"SUN-DRIED TOMATOES","Food & Drink","5/29/09 (#5065)"
"SOCCER TOURNAMENT","Fun & Games","5/29/09 (#5065)"
"LOW WHISPER","Thing","5/29/09 (#5065)"
"ON THE COUNT OF THREE","Phrase","7/13/09 (#5066)"
"LOVE SEAT","Around the House","7/13/09 (#5066)"
"YOUR CHOICE OF WHITE WHEAT OR RYE TOAST","Food & Drink","7/13/09 (#5066)"
"OCEANFRONT LUAU WITH TIKI TORCHES","Event","7/13/09 (#5066)"
"CHARLOTTE'S WEB BROWSER","Before & After","7/13/09 (#5066)"
"A HOT STREAK","Thing","7/13/09 (#5066)"
"THE BEST IS YET TO COME","Song Title","7/13/09 (#5066)"
"BIKE PATH","Thing","7/13/09 (#5066)"
"ROUND-TRIP TICKETS","Things","7/14/09 (#5067)"
"TIME IS ON YOUR SIDE","Phrase","7/14/09 (#5067)"
"COCONUT CHEESECAKE WITH MACAROON CRUST","Food & Drink","7/14/09 (#5067)"
"TAKING A DIP IN THE JACUZZI","Fun & Games","7/14/09 (#5067)"
"SHAINA & MARK TWAIN","Same Name","7/14/09 (#5067)"
"HOME OFFICE","Place","7/14/09 (#5067)"
"ANNIVERSARY PARTY","Event","7/14/09 (#5067)"
"SHOPPING LIST","Around the House","7/14/09 (#5067)"
"SAFETY VALVE","Thing","7/14/09 (#5067)"
"SOMEBODY PINCH ME","Phrase","7/15/09 (#5068)"
"SNEAK PREVIEWS","Show Biz","7/15/09 (#5068)"
"DINING AT A SEASIDE BISTRO","What Are You Doing?","7/15/09 (#5068)"
"HOW I MET YOUR MOTHER GOOSE","Before & After","7/15/09 (#5068)"
"BLUEBERRY PANCAKES WITH MAPLE SYRUP","Food & Drink","7/15/09 (#5068)"
"DIGITAL BOOK","Thing","7/15/09 (#5068)"
"WOOD-BURNING STOVE","Around the House","7/15/09 (#5068)"
"LIP BALM","Thing","7/15/09 (#5068)"
"CLASSICAL MUSIC","Thing","7/16/09 (#5069)"
"THE BACHELOR","TV Title","7/16/09 (#5069)"
"TOASTED BAGELS WITH LOX AND CREAM CHEESE","Food & Drink","7/16/09 (#5069)"
"COMFORT FOOD FIGHT","Before & After","7/16/09 (#5069)"
"HIGHLY EXPERIENCED TOUR GUIDE","Person","7/16/09 (#5069)"
"THE ARABIAN SEA","On the Map","7/16/09 (#5069)"
"JEREMIAH WAS A BULLFROG","Song Lyrics","7/16/09 (#5069)"
"LIQUID SOAP","Thing","7/16/09 (#5069)"
"THE INSIDE SCOOP","Thing","7/17/09 (#5070)"
"CAIRO EGYPT","On the Map","7/17/09 (#5070)"
"PUMPKIN PIE","Food & Drink","7/17/09 (#5070)"
"WHERE THERE'S A WILL THERE'S A WAY","Phrase","7/17/09 (#5070)"
"I'M GOING HOME TO MY CITY BY THE BAY","Song Lyrics","7/17/09 (#5070)"
"THE LIBRARY OF CONGRESS","Landmark","7/17/09 (#5070)"
"A FRIEND OF THE FAMILY","Person","7/17/09 (#5070)"
"UNDERDOG","Person","7/17/09 (#5070)"